Región 13,72012000,3,Universidad Tecnológica De Chile,Universidad Tecnológica De Chile Inacap,San Ignacio De Loyola Nº135,Santiago,224723415,Otec,jcoussy@inacap.cl,,
Región 13,76633770,8,Visión 20/20 S.A.,,"San Antonio 19, Of. 2005",Santiago,227843782,Otec,otec@colegiodeopticos.cl,,
Región 13,76645099,7,Otec Vizar Limitada,Capacitaciones Vizar Ltda.,"Huerfanos 1373, Of. 606, Espacio 3",Santiago,227050410,Otec,claudio.vizcarria@vizar.cl,carlos.velasquez@vizar.cl,
Región 13,76980870,1,Cycap Competencias Y Capacitación S.A.,Cycap Limitada,"Huelén Nº 56, Of. 4H",Santiago,227258208,Otec,info@oteccycap.cl,,
Región 13,77930750,6,Tlc  Capacitación Limitada,,"Estado 215, Of. 815, Santiago",Santiago,6328764,Otec,administracion@tlc-capacitacion.cl,,
Región 13,71619300,4,Centro De Promoción Y Desarrollo Social Monseñor Fagnano,Ceprode,Avda. República  173,Santiago,226180046,Otec,ceprode@salesianos.cl,,
Región 13,65057241,6,Fundacion Codesser Oficios,Fundacion Codesser Oficios,Tenderini 187,Santiago,25853381,Otec,fundacion.oficios@codesser.cl,,
Región 13,76232950,6,"Instituto De Calidad Y Medioambiente De Chile, Ignacio Javier Caro Aguilera E.I.R.L.",Icm Chile. Icm E.I.R.L.,"San Antonio  N° 418, Oficina 902",Santiago,226643638,Otec,ignacio.caro@icmchile.cl,,
Región 13,87894800,9,Instituto Profesional Camara De Comercio De Santiago Ltda,Instituto Profesional  Del Comercio,República N°190,Santiago,222801379,Otec,arodriguez@ccs.cl,,
Región 13,76563628,0,Orion Capacitacion Limitada,Orion Capacitacion Ltda,Santa Victoria 354,Santiago,2224252,Otec,gtopali@cmtsalud.cl,,
Región 13,76883500,4,Organismo Técnico De Capacitación Ebisu Limitada,Ebisu Ltda.,"Huérfanos N° 1160, Of. N° 1202",Santiago,27053929,Otec,info@otec-ebisu.cl,,
